Beta_t_V2,Beta_y_V2,Beta_y.est,r_t,r_y,Beta_y,Beta_t,Beta_y_moderate,Beta_y_nothing
2020-03-01,mu.0,1,2020-03-01,r1,mu.0,2020-03-01,mu.0,mu.0
2020-03-01,mu.0,1,2020-04-15,r1,mu.0,2020-03-01,mu.0,mu.0
2020-03-12,mu.0,1,2020-08-15,r2,mu.0,2020-03-12,mu.0,mu.0
2020-03-27,mu.1,0.2,2020-10-20,r2,mu.1,2020-03-27,mu.2,mu.0
2020-04-27,mu.1,0.2,2021-10-20,r2,mu.1,2020-04-27,mu.2,mu.0
2020-05-15,mu.2,0.45,,,mu.2,2020-05-15,mu.2,mu.0
2020-07-27,mu.2,0.45,,,mu.2,2020-06-15,mu.2,mu.0
2020-08-01,mu.2,0.5,,,mu.2,2020-06-16,mu.2,mu.0
2020-08-10,mu.2,0.5,,,mu.2,2020-07-01,mu.2,mu.0
2020-08-12,mu.1,0.35,,,mu.1,2020-08-15,mu.1,mu.0
2020-10-20,mu.1,0.2,,,mu.1,2020-10-01,mu.1,mu.0
2021-10-20,mu.1,0.2,,,mu.2,2020-10-15,mu.2,mu.0
,,,,,mu.2,2021-10-10,mu.2,mu.0