R0_y,Beta_t,Alpha_t,Alpha_y,Kappa_y,Delta_y,r_t,r_y
3.65,2020-03-01,2020-03-01,0.14,0.6,0.56,2020-03-01,0.03
3.65,2020-03-01,2020-03-01,0.14,0.6,0.56,2020-04-15,0.03
3.65,2020-03-12,2020-04-30,0.14,0.6,0.56,2020-08-15,0.1
0.7665,2020-03-27,2020-05-01,0.14,0.6,0.56,2020-10-20,0.1
0.7665,2020-04-27,2020-08-01,0.05,0.55,0.52,2021-10-20,0.1
1.2045,2020-05-15,2020-12-25,0.05,0.55,0.52,,
1.2045,2020-06-15,2021-01-01,0.05,0.55,0.6,,
1.2045,2020-06-16,2021-03-15,0.05,0.55,0.6,,
1.2045,2020-07-01,2021-12-20,0.05,0.55,0.6,,
0.7665,2020-08-15,,,,,,
0.7665,2020-10-01,,,,,,
0.7665,2020-10-25,,,,,,
1.2045,2020-10-26,,,,,,
2.09875,2020-10-27,,,,,,
2.09875,2020-12-15,,,,,,
2.09875,2020-12-16,,,,,,
2.09875,2021-01-01,,,,,,
1.5740625,2021-01-02,,,,,,
1.5740625,2021-01-03,,,,,,
1.09135,2021-01-15,,,,,,
1.09135,2021-01-16,,,,,,
1.09135,2021-05-02,,,,,,
1.09135,2021-12-02,,,,,,
1.09135,2021-12-09,,,,,,